Entity,Code,Day,stringency_index
Afghanistan,AFG,2021/1/1,12.04
Afghanistan,AFG,2021/1/2,12.04
Afghanistan,AFG,2021/1/3,12.04
Afghanistan,AFG,2021/1/4,12.04
Afghanistan,AFG,2021/1/5,12.04
Afghanistan,AFG,2021/1/6,12.04
Afghanistan,AFG,2021/1/7,12.04
Afghanistan,AFG,2021/1/8,12.04
Afghanistan,AFG,2021/1/9,12.04
Afghanistan,AFG,2021/1/10,12.04
Afghanistan,AFG,2021/1/11,12.04
Afghanistan,AFG,2021/1/12,12.04
Afghanistan,AFG,2021/1/13,12.04
Afghanistan,AFG,2021/1/14,12.04
Afghanistan,AFG,2021/1/15,12.04
Afghanistan,AFG,2021/1/16,12.04
Afghanistan,AFG,2021/1/17,12.04
Afghanistan,AFG,2021/1/18,12.04
Afghanistan,AFG,2021/1/19,12.04
Afghanistan,AFG,2021/1/20,12.04
Afghanistan,AFG,2021/1/21,12.04
Afghanistan,AFG,2021/1/22,12.04
Afghanistan,AFG,2021/1/23,12.04
Afghanistan,AFG,2021/1/24,12.04
Afghanistan,AFG,2021/1/25,12.04
Afghanistan,AFG,2021/1/26,12.04
Afghanistan,AFG,2021/1/27,12.04
Afghanistan,AFG,2021/1/28,12.04
Afghanistan,AFG,2021/1/29,12.04
Afghanistan,AFG,2021/1/30,12.04
Afghanistan,AFG,2021/1/31,12.04
Afghanistan,AFG,2021/2/1,12.04
Afghanistan,AFG,2021/2/2,12.04
Afghanistan,AFG,2021/2/3,12.04
Afghanistan,AFG,2021/2/4,12.04
Afghanistan,AFG,2021/2/5,12.04
Afghanistan,AFG,2021/2/6,12.04
Afghanistan,AFG,2021/2/7,12.04
Afghanistan,AFG,2021/2/8,12.04
Afghanistan,AFG,2021/2/9,12.04
Afghanistan,AFG,2021/2/10,12.04
Afghanistan,AFG,2021/2/11,12.04
Afghanistan,AFG,2021/2/12,12.04
Afghanistan,AFG,2021/2/13,12.04
Afghanistan,AFG,2021/2/14,12.04
Afghanistan,AFG,2021/2/15,12.04
Afghanistan,AFG,2021/2/16,12.04
Afghanistan,AFG,2021/2/17,12.04
Afghanistan,AFG,2021/2/18,12.04
Afghanistan,AFG,2021/2/19,12.04
Afghanistan,AFG,2021/2/20,12.04
Afghanistan,AFG,2021/2/21,12.04
Afghanistan,AFG,2021/2/22,12.04
Afghanistan,AFG,2021/2/23,12.04
Afghanistan,AFG,2021/2/24,12.04
Afghanistan,AFG,2021/2/25,12.04
Afghanistan,AFG,2021/2/26,12.04
Afghanistan,AFG,2021/2/27,12.04
Afghanistan,AFG,2021/2/28,12.04
Afghanistan,AFG,2021/3/1,12.04
Afghanistan,AFG,2021/3/2,12.04
Afghanistan,AFG,2021/3/3,12.04
Afghanistan,AFG,2021/3/4,12.04
Afghanistan,AFG,2021/3/5,12.04
Afghanistan,AFG,2021/3/6,12.04
Afghanistan,AFG,2021/3/7,12.04
Afghanistan,AFG,2021/3/8,12.04
Afghanistan,AFG,2021/3/9,12.04
Afghanistan,AFG,2021/3/10,30.56
Afghanistan,AFG,2021/3/11,30.56
Afghanistan,AFG,2021/3/12,30.56
Afghanistan,AFG,2021/3/13,30.56
Afghanistan,AFG,2021/3/14,30.56
Afghanistan,AFG,2021/3/15,30.56
Afghanistan,AFG,2021/3/16,30.56
Afghanistan,AFG,2021/3/17,30.56
Afghanistan,AFG,2021/3/18,30.56
Afghanistan,AFG,2021/3/19,30.56
Afghanistan,AFG,2021/3/20,30.56
Afghanistan,AFG,2021/3/21,30.56
Afghanistan,AFG,2021/3/22,30.56
Afghanistan,AFG,2021/3/23,26.85
Afghanistan,AFG,2021/3/24,26.85
Afghanistan,AFG,2021/3/25,26.85
Afghanistan,AFG,2021/3/26,26.85
Afghanistan,AFG,2021/3/27,26.85
Afghanistan,AFG,2021/3/28,26.85
Afghanistan,AFG,2021/3/29,26.85
Afghanistan,AFG,2021/3/30,26.85
Afghanistan,AFG,2021/3/31,26.85
Afghanistan,AFG,2021/4/1,26.85
Afghanistan,AFG,2021/4/2,26.85
Afghanistan,AFG,2021/4/3,26.85
